subject,id,trial,stream,freq,amp,conj
6,AE06,3,adhawk,0.1,-9,-0.53052360714114
6,AE06,3,target,0.1,-9,0
6,AE06,4,eyelink,0.2,9,0.308540378514247
6,AE06,4,adhawk,0.2,9,-0.403551936386137
6,AE06,4,target,0.2,9,0
6,AE06,5,eyelink,0.01,9,0.0528177342711531
6,AE06,5,adhawk,0.01,9,-1.27534721644819
6,AE06,5,target,0.01,9,0
6,AE06,6,eyelink,0.1,9,0.420213387606132
6,AE06,6,adhawk,0.1,9,-0.661091226117318
6,AE06,6,target,0.1,9,0
6,AE06,7,eyelink,0.01,-9,0.0619849033820506
6,AE06,7,adhawk,0.01,-9,-0.670653768467322
6,AE06,7,target,0.01,-9,0
6,AE06,8,eyelink,0.2,9,0.590850957861543
6,AE06,8,adhawk,0.2,9,-0.630753277928785
6,AE06,8,target,0.2,9,0
6,AE06,9,eyelink,0.1,9,0.2551155579771
6,AE06,9,adhawk,0.1,9,-0.930926203639133
6,AE06,9,target,0.1,9,0
6,AE06,10,eyelink,0.01,9,0.437146487777934
6,AE06,10,adhawk,0.01,9,-0.890031739346191
6,AE06,10,target,0.01,9,0
6,AE06,11,eyelink,0.01,-9,0.514845701857026
6,AE06,11,adhawk,0.01,-9,0.000216567867195146
6,AE06,11,target,0.01,-9,0
6,AE06,12,eyelink,0.2,9,0.292939215570163
6,AE06,12,adhawk,0.2,9,-2.22303799578926
6,AE06,12,target,0.2,9,0
6,AE06,13,eyelink,0.01,9,0.0503861854715632
6,AE06,13,adhawk,0.01,9,-1.67000620051374
6,AE06,13,target,0.01,9,0
6,AE06,14,eyelink,0.2,-9,0.502714357842697
6,AE06,14,adhawk,0.2,-9,-0.907220077658159
6,AE06,14,target,0.2,-9,0
6,AE06,15,eyelink,0.1,9,0.0316910022603614
6,AE06,15,adhawk,0.1,9,-0.852687794923198
6,AE06,15,target,0.1,9,0
6,AE06,16,eyelink,0.2,9,0.421213126563019
6,AE06,16,adhawk,0.2,9,-0.187181921381313
6,AE06,16,target,0.2,9,0
6,AE06,17,eyelink,0.1,9,0.438040133844842
6,AE06,17,adhawk,0.1,9,-0.408935540550138
6,AE06,17,target,0.1,9,0
6,AE06,18,eyelink,0.1,9,0.133920421307101
6,AE06,18,adhawk,0.1,9,-0.950823722114096
