subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE13,right,14,0.1,0.102510086,0.102062335,1.025100861,1.02062335,9,6.272399875,4.439441698,0.69693332,0.4932713
AE13,right,15,0.1,0.102109861,0.105404339,1.021098613,1.054043394,9,6.207695,3.999148073,0.689743889,0.444349786
AE13,right,16,0.1,0.103005328,0.101742555,1.030053275,1.017425548,9,6.573538171,4.07421821,0.73039313,0.452690912
AE13,right,17,0.1,0.101718036,0.107330141,1.017180359,1.073301408,9,6.386377917,3.792339999,0.709597546,0.421371111
AE13,right,18,0.1,0.092201227,0.115770043,0.922012267,1.157700429,9,7.898520946,3.185276713,0.877613438,0.353919635
AE13,right,19,0.1,0.095090484,0.120281199,0.950904836,1.202811986,9,6.680071488,3.363580453,0.742230165,0.373731162
AE13,right,20,0.2,0.205681062,0.203855882,1.02840531,1.019279411,9,6.791759369,4.839494188,0.75463993,0.537721576
AE13,right,22,0.1,0.102879306,0.103158994,1.028793061,1.031589936,9,7.05396451,3.830409108,0.783773835,0.425601012
AE13,right,25,0.2,0.203182179,0.188780896,1.015910895,0.943904479,9,6.806994539,4.896174159,0.756332727,0.544019351
AE13,right,27,0.2,0.204503881,0.205230886,1.022519403,1.02615443,9,6.48865554,4.510422524,0.720961727,0.501158058
AE13,right,28,0.2,0.205387064,0.184500803,1.026935319,0.922504017,9,6.849630836,4.378101698,0.761070093,0.486455744
AE13,right,30,0.2,0.198878214,0.197629971,0.99439107,0.988149857,9,6.739206895,5.125322456,0.748800766,0.569480273
AE13,left,1,0.1,0.101370364,0.10765225,1.013703636,1.076522503,9,6.180854791,2.657106925,0.686761644,0.295234103
AE13,left,2,0.2,0.202542296,0.201279415,1.012711478,1.006397076,9,6.356827576,2.834653099,0.706314175,0.314961456
AE13,left,5,0.2,0.205465911,0.200276911,1.027329555,1.001384555,9,6.490816006,2.935707497,0.721201778,0.326189722
AE13,left,6,0.2,0.204753519,0.209609046,1.023767593,1.048045231,9,6.381726214,2.78114956,0.70908069,0.309016618
AE13,left,10,0.2,0.202323823,0.201432088,1.011619113,1.00716044,9,6.360883696,2.591228697,0.706764855,0.2879143
AE13,left,11,0.1,0.103347044,0.107457044,1.033470443,1.074570442,9,6.393447703,2.639027245,0.710383078,0.29322525
AE13,left,13,0.1,0.102074261,0.10892836,1.020742613,1.089283603,9,5.736372181,2.268179071,0.637374687,0.252019897
AE13,left,14,0.1,0.102743883,0.103355132,1.027438834,1.033551321,9,6.041734236,2.434206727,0.671303804,0.270467414
AE13,left,15,0.1,0.101348332,0.102812518,1.013483318,1.028125177,9,6.104852812,2.314431931,0.678316979,0.257159103
AE13,left,16,0.1,0.10281514,0.098637329,1.028151395,0.986373293,9,6.261608276,2.458710661,0.695734253,0.273190073
AE13,left,17,0.1,0.102837872,0.107341724,1.028378719,1.073417241,9,5.936505098,2.237075384,0.659611678,0.248563932
AE13,left,18,0.1,0.093490948,0.121441859,0.934909481,1.21441859,9,6.757961875,1.902886742,0.750884653,0.21143186
AE13,left,19,0.1,0.096936061,0.115913379,0.969360615,1.159133791,9,5.971946569,2.271211243,0.663549619,0.252356805
AE13,left,20,0.2,0.203467593,0.201087708,1.017337965,1.005438542,9,6.513284838,2.926840182,0.723698315,0.325204465
AE13,left,22,0.1,0.103510886,0.107162517,1.035108859,1.071625167,9,6.692453842,2.189168024,0.743605983,0.243240892
