,subject,amp,vel,eye,tracker
49,AE04,8.030440441,290.2295364,right,EL
50,AE04,7.049094334,208.8280681,right,EL
51,AE04,10.38979565,326.9856376,right,EL
52,AE04,-7.825788891,257.2690393,right,EL
53,AE04,-5.628189548,207.942594,right,EL
54,AE04,10.36965388,304.855665,right,EL
55,AE04,-3.007484011,159.5818557,right,EL
56,AE04,11.55098365,312.3874254,right,EL
57,AE04,11.41391416,321.5907297,right,EL
58,AE04,-4.29410172,175.4545714,right,EL
59,AE04,5.02794879,214.8985033,right,EL
60,AE04,-10.83396028,282.4212286,right,EL
61,AE04,-5.497373161,184.8646173,right,EL
62,AE04,7.716581362,249.9366561,right,EL
63,AE04,-7.672597026,229.3587097,right,EL
64,AE04,-10.70011347,275.7821418,right,EL
65,AE04,-5.530088432,185.6856674,right,EL
66,AE04,7.614369743,262.3573486,right,EL
67,AE04,-7.944768991,226.0883517,right,EL
68,AE04,-11.40886859,292.690768,right,EL
69,AE04,8.249665734,269.4985906,right,EL
70,AE04,-11.21515234,292.0255672,right,EL
71,AE04,10.68463703,312.6612906,right,EL
72,AE04,10.40897216,304.3732396,right,EL
73,AE04,11.19978153,310.3995401,right,EL
74,AE04,10.80908911,300.8303183,right,EL
75,AE04,-8.464825332,242.5923868,right,EL
76,AE04,4.944803844,207.2055709,right,EL
77,AE04,7.753431863,266.7448399,right,EL
78,AE04,8.33785209,290.6307375,right,EL
79,AE04,-10.8525014,280.8564627,right,EL
80,AE04,10.96133099,322.2872967,right,EL
81,AE04,-10.82982104,289.1065537,right,EL
82,AE04,10.73629711,312.0708566,right,EL
83,AE04,10.71495448,302.8774538,right,EL
84,AE04,-10.74803036,254.3641313,right,EL
85,AE04,-8.504190691,247.4213186,right,EL
86,AE04,11.01680319,291.8167302,right,EL
87,AE04,5.595084772,211.2444275,right,EL
88,AE04,-5.09810903,196.9905837,right,EL
89,AE04,-10.94234814,279.7694861,right,EL
90,AE04,-5.475921103,180.5346677,right,EL
91,AE04,-11.89796635,311.615405,right,EL
92,AE04,4.848208066,196.2623518,right,EL
93,AE04,8.542418317,261.4405792,right,EL
94,AE04,-8.030058641,242.1670313,right,EL
95,AE04,-5.342682534,211.9394016,right,EL
